# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -20949 10 5 1048603 1367685 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -20949 9 5 1048603 1361702 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -20949 10 5 1048603 1367365 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -20949 9 5 1048603 1361382 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -20949 9 5 1048603 1382191 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -20949 10 5 1048603 1389938 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -20949 10 5 1048603 1389979 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_FIRST_OCCURRENCE 7389 4 5 1048603 1386316 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7389 4 5 1048603 1360115 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7389 5 5 1048603 1393049 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7389 8 5 1048603 1360883 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7389 8 5 1048603 1382814 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
